id;nom;personnage;techniques;evolutions;passifs;equipements;transformation;ordre;remplacements;fenetre;faiblesse;difficulte
BLD_001;Armée de clones;CHR_001;"[""JUT_217"", ""JUT_218"", ""JUT_281"", ""JUT_185"", ""JUT_225"", ""JUT_073""]";"[""EVO_069"", ""EVO_070"", ""EVO_117""]";"[""PAS_060"", ""PAS_030"", ""PAS_029"", ""PAS_002"", ""PAS_001"", ""PAS_056""]";"[""EQP_036"", ""EQP_004""]";TRF_001;"Kage Bunshin 1→4 (plafond 2) ; Kunai en éventail pour tenir 0–4 min ; PAS_030 et PAS_029 tôt ; Rasengan vers 5 min (clones qui le portent) ; Tajū vers 8 min ; EVO_069 vers 13 min ; Rouleau interdit EQP_036 si proposé ; EVO_117 après 15:00 sous manteau.";"[""JUT_225 → JUT_245 (clones illusoires) si les crapauds n'arrivent pas"", ""EQP_036 → EQP_032 si le coût en PV est jugé trop risqué""]";Faible 0–5 min, montée forte 10–15 min, dominant après EVO_117.;"Élites à dos blindé et boss qui renvoient les projectiles ; plafond global de 8 unités atteint vite.";2
BLD_002;Rasengan porté par le vent;CHR_001;"[""JUT_217"", ""JUT_281"", ""JUT_080"", ""JUT_075"", ""JUT_085"", ""JUT_073"", ""JUT_164""]";"[""EVO_096"", ""EVO_069""]";"[""PAS_038"", ""PAS_060"", ""PAS_001"", ""PAS_003"", ""PAS_002"", ""PAS_024""]";"[""EQP_020"", ""EQP_034""]";TRF_001;"Rasengan dès le 1er niveau ; Lames de vent comme défense rapprochée ; PAS_038 niv. 3 (Rasengan gagne Fūton) ; Rasengan et Lames de vent niv. 8 vers 14 min → fusion Rasenshuriken ; l'emplacement libéré prend Konoha Senpū (esquive offensive).";"[""JUT_075 → JUT_079 (Renkūdan) pour plus de dégâts ciblés"", ""EQP_034 → EQP_025 si l'ultime est rarement lancé""]";Moyenne tôt, pic à la fusion (14–16 min).;"Peu de couverture arrière avant la fusion ; exige deux techniques niv. 8.";3
BLD_003;Ermite des crapauds;CHR_002;"[""JUT_281"", ""JUT_242"", ""JUT_225"", ""JUT_224"", ""JUT_255"", ""JUT_073""]";"[""EVO_084"", ""EVO_071"", ""EVO_114""]";"[""PAS_060"", ""PAS_029"", ""PAS_055"", ""PAS_004"", ""PAS_001"", ""PAS_053""]";"[""EQP_004"", ""EQP_022""]";TRF_002;"Rasengan + Kumite ; anciens sur les épaules vers 3 min ; Chant des crapauds pour les vagues d'apogée ; Gamabunta pour le boss ; EVO_084 puis éveil EVO_114 en Mode Ermite.";"[""JUT_073 → JUT_082 (Coup de vent circulaire) pour la mêlée"", ""EQP_022 → EQP_031 pour mieux contrôler le hasard""]";"Pic à chaque Mode Ermite ; dominant en fin de run.";Récompense l'immobilité : tireurs et poseurs de pièges pénibles.;4
BLD_004;Tempête de foudre;CHR_004;"[""JUT_001"", ""JUT_049"", ""JUT_051"", ""JUT_054"", ""JUT_059"", ""JUT_052""]";"[""EVO_018"", ""EVO_022"", ""EVO_115""]";"[""PAS_023"", ""PAS_002"", ""PAS_008"", ""PAS_009"", ""PAS_021"", ""PAS_031""]";"[""EQP_034"", ""EQP_019""]";TRF_005;"Gōkakyū tient le début ; Chidori vers 2 min ; Arc en chaîne pour la horde ; Kirin vers 9 min (zones Katon pour accélérer, SYN_072) ; EVO_018 et EVO_022 vers 14 min ; éveil EVO_115 sous marque maudite.";"[""JUT_052 → JUT_053 (Chidori Eisō) pour le balayage"", ""PAS_021 → PAS_043 contre les boss""]";Forte au milieu, explosive après 15:00.;"PV faibles ; Kirin lent à construire sans zones de feu.";3
BLD_005;Flammes Uchiha;CHR_004;"[""JUT_001"", ""JUT_006"", ""JUT_007"", ""JUT_002"", ""JUT_004"", ""JUT_013""]";"[""EVO_001"", ""EVO_002"", ""EVO_003""]";"[""PAS_021"", ""PAS_007"", ""PAS_003"", ""PAS_005"", ""PAS_001"", ""PAS_049""]";"[""EQP_018"", ""EQP_029""]";TRF_005;"Gōkakyū + Hōsenka ; Couronne de flammes vers 4 min (défense) ; Karyū Endan ; Gōryūka et Gōka Mekkyaku après 8 min ; EQP_018 pour les 6 cumuls de Brûlure ; trois évolutions entre 12 et 17 min.";"[""JUT_013 → JUT_022 (Barrière de flammes) contre les tireurs"", ""EQP_029 → EQP_033 si pas d'huile""]";Régulière, forte densité de feu dès 10 min.;"Élites « Brasier » immunisées à la Brûlure ; boss résistants.";2
BLD_006;Frappes tectoniques;CHR_007;"[""JUT_175"", ""JUT_174"", ""JUT_107"", ""JUT_106"", ""JUT_176"", ""JUT_228""]";"[""EVO_058"", ""EVO_038""]";"[""PAS_059"", ""PAS_027"", ""PAS_004"", ""PAS_025"", ""PAS_015"", ""PAS_031""]";"[""EQP_021"", ""EQP_009""]";;"Ōkashō + Contre-attaque pour tenir le contact ; Talon céleste vers 3 min ; Katsuyu pour soigner ; Poing de pierre et Séisme vers 8 min ; évolutions à 13–15 min ; ultime en maîtrise (second effet).";"[""JUT_106 → JUT_109 (Sables mouvants) pour contrôler les chargeurs"", ""EQP_009 → EQP_006 pour le contre au contact""]";Solide dès 5 min, pic sur les boss.;Portée courte : les assassins invisibles et les tireurs demandent du placement.;2
BLD_007;Raiton et meute de ninken;CHR_008;"[""JUT_050"", ""JUT_049"", ""JUT_055"", ""JUT_229"", ""JUT_222"", ""JUT_100""]";"[""EVO_019"", ""EVO_023"", ""EVO_072""]";"[""PAS_043"", ""PAS_053"", ""PAS_023"", ""PAS_029"", ""PAS_008"", ""PAS_002""]";"[""EQP_032"", ""EQP_019""]";;"Raikiri sur les menaces ; Raijū Tsuiga pour la horde ; ninken vers 6 min ; Clone de foudre vers 8 min ; Shiden (EVO_019) vers 12 min ; meutes évoluées vers 16 min.";"[""JUT_100 → JUT_059 (Arc en chaîne) pour la couverture"", ""EQP_019 → EQP_016 (Masque ANBU) avec les leurres""]";"Constante ; très forte contre élites.";"Gain de chakra réduit (ultime rare) ; grosses hordes avant l'arrivée des chiens.";3
BLD_008;Forteresse de sable mobile;CHR_012;"[""JUT_131"", ""JUT_134"", ""JUT_135"", ""JUT_241"", ""JUT_087"", ""JUT_085""]";"[""EVO_045"", ""EVO_044"", ""EVO_118""]";"[""PAS_051"", ""PAS_011"", ""PAS_019"", ""PAS_026"", ""PAS_015"", ""PAS_048""]";"[""EQP_003"", ""EQP_006""]";TRF_011;"Sabaku Kyū + bouclier gratuit (CPX) ; Suna no Tate équipé pour 3 charges ; Œil du cyclone contre les tireurs ; Cascade de sable pour la horde ; EVO_045 vers 12 min ; cercueil de masse vers 15 min ; éveil Désert impérial sous armure.";"[""JUT_085 → JUT_089 (Poussière aveuglante)"", ""EQP_006 → EQP_035 contre les tireurs""]";"Très sûr dès 5 min ; dégâts qui montent tard.";"Vitesse faible ; dégâts modestes avant les évolutions.";1
BLD_009;Désert contrôlé;CHR_012;"[""JUT_131"", ""JUT_132"", ""JUT_133"", ""JUT_081"", ""JUT_089"", ""JUT_083"", ""JUT_135"", ""JUT_134""]";"[""EVO_108"", ""EVO_102""]";"[""PAS_050"", ""PAS_026"", ""PAS_048"", ""PAS_003"", ""PAS_005"", ""PAS_001""]";"[""EQP_003"", ""EQP_030""]";TRF_011;"Cercueil + Enterrement ; Averse de sable ; Tornade errante ; Courant ascendant pour soulever ; fusion Tombeau du désert vers 13 min (libère un emplacement → Cascade de sable) ; fusion Tempête du désert vers 16 min (libère → Suna no Tate).";"[""JUT_089 → JUT_087"", ""EQP_030 → EQP_033""]";"Contrôle permanent ; pic après la deuxième fusion.";Deux fusions exigent 4 techniques niv. 8 : lent à assembler.;4
BLD_010;Tourbillon de contact;CHR_014;"[""JUT_161"", ""JUT_165"", ""JUT_177"", ""JUT_180"", ""JUT_184"", ""JUT_176""]";"[""EVO_054"", ""EVO_057""]";"[""PAS_027"", ""PAS_002"", ""PAS_010"", ""PAS_042"", ""PAS_031"", ""PAS_015""]";"[""EQP_010"", ""EQP_005""]";TRF_009;"Konoha Reppū + Kenatsu (portée minimale) ; Mille poings sur les élites ; Genou volant pour les effets de quilles ; retirer les poids (EQP_010) au premier boss ; évolutions vers 12–14 min ; Portes à chaque élite.";"[""JUT_176 → JUT_182 (Kage Buyō) avec Konoha Daisenpū"", ""EQP_005 → EQP_022""]";"Fort tôt si le joueur engage ; pic sous les Portes.";Tireurs lointains et zones persistantes ennemies.;3
