id;nom;statut;role;cartes;pv;vitesse;degats;xp;comportement;annonce;elite;modificateur
ENM_001;Clone d'entraînement;CO;poursuivant;"[""MAP_001"", ""MAP_004""]";8;2.6;5;1;"Marche droit vers le joueur ; se dissipe en fumée.";Silhouette générique à contour blanc pointillé, bras en avant.;;
ENM_002;Bandit déserteur;CO;poursuivant;"[""MAP_001"", ""MAP_002"", ""MAP_011"", ""MAP_015""]";12;2.8;6;1;Poursuite avec légère dispersion latérale (évite l'agglutinement parfait).;Bandeau rayé, dos voûté, couteau court.;;
ENM_003;Nukenin de Kiri;CO;poursuivant;"[""MAP_002"", ""MAP_010"", ""MAP_018""]";14;3.0;7;1;"Poursuite ; accélère de 20 % sur surface EAU.";Bandeau de Kiri barré, masque respiratoire.;;
ENM_004;Serpent de la forêt;CO;poursuivant;"[""MAP_003"", ""MAP_007""]";10;3.2;6;1;"Trajectoire ondulante ; applique Empoisonné +1 au contact.";Corps sinueux au ras du sol, langue qui sort.;;
ENM_005;Genin du Son;CO;poursuivant;"[""MAP_004"", ""MAP_005"", ""MAP_006""]";14;2.9;7;1;Poursuite en petits groupes de 3 alignés.;Bandeau à note de musique, tenue sombre.;;
ENM_006;Ninja de la Racine;CO;poursuivant;"[""MAP_009"", ""MAP_013"", ""MAP_014""]";18;3.0;8;1;"Poursuite ; contourne les clones plutôt que de les attaquer.";Masque blanc sans visage, tanto dans le dos.;;
ENM_007;Zetsu blanc;OA;poursuivant;"[""MAP_016"", ""MAP_019"", ""MAP_020"", ""MAP_006""]";16;2.7;7;1;"Poursuite ; à la mort, 10 % de chance de se diviser en 2 petits (PV 4) — compteur déterministe 1 sur 10.";Corps blanc lisse, sourire figé.;;
ENM_008;Ninja d'Amegakure;CO;poursuivant;"[""MAP_012"", ""MAP_011""]";16;3.0;7;1;"Poursuite ; résiste 20 % au Raiton (Trempé permanent visible).";Respirateur, cape imperméable ruisselante.;;
ENM_009;Scorpion du désert;CO;poursuivant;"[""MAP_008"", ""MAP_017""]";14;3.1;6;1;Sort du sable à 6 m (cercle de sable 0,8 s avant), puis poursuit.;Dard levé, carapace ocre à contour foncé.;;
ENM_010;Sanglier de Konoha;CO;chargeur;"[""MAP_001"", ""MAP_003""]";24;2.0;12;2;"Gratte le sol 0,8 s (poussière), puis charge en ligne droite 8 m à 9 m/s ; étourdi 1 s s'il percute un obstacle.";Tête baissée, défenses, grattage visible.;;
ENM_011;Brute de Gatō;CO;chargeur;"[""MAP_002""]";30;2.2;14;2;Télégraphe 0,7 s (bras levé), charge d'épaule 6 m.;Carrure large, gourdin sur l'épaule.;;
ENM_012;Samouraï du Pays du Fer;OA;chargeur;"[""MAP_014""]";36;2.3;16;2;Iai : se fige 0,6 s (lame à demi dégainée) puis fonce 5 m en tranchant.;Armure lamellaire, main sur la garde.;;
ENM_013;Tigre de la Forêt de la Mort;CO;chargeur;"[""MAP_003""]";34;2.8;15;2;Tourne autour du joueur à 6 m puis bondit (ombre au sol 0,6 s).;Tigre à rayures, dos arqué avant le bond.;;
ENM_014;Colosse du Son;CO;chargeur;"[""MAP_004"", ""MAP_005""]";40;1.9;18;2;Charge lente mais longue (10 m) qui renverse les autres ennemis sur son passage.;Corps massif, sol qui tremble à chaque pas (poussière).;;
ENM_015;Ninja de Kumo épaulé;CO;chargeur;"[""MAP_015"", ""MAP_016""]";32;2.6;15;2;Charge électrique 7 m laissant une traînée électrisée 1 s.;Épaulières, arcs courts sur les bras 0,8 s avant la charge.;;
ENM_016;Golem de roche d'Iwa;CO;chargeur;"[""MAP_017"", ""MAP_006""]";48;1.6;20;2;Roule en boule 8 m après 1 s de repli (se met en boule visiblement).;Blocs de pierre assemblés, posture de repli.;;
