id;nom;statut;type;sources;catalyseurs;comportement;valeurs;limites;visuel;condition_tardive
EVO_001;Soleil de l'Uchiha;CO;EVOLUTION;"[""JUT_001""]";"[""PAS_021""]";La grande boule de feu grossit en traversant les ennemis (perce 6) puis explose en 3 boules secondaires qui repartent en étoile.;"Impact 70 ; explosion 40 (r 2,5 m) ; 3 × 25 ; délai 1,8 s";Boules secondaires SECONDAIRE, ne se divisent pas.;"Boule de 32 px à cœur blanc, trois sous-boules de 12 px ; traînée de fumée noire.";
EVO_002;Nuée de phénix;CO;EVOLUTION;"[""JUT_002""]";"[""PAS_007""]";12 flammes guidées en deux vagues d'éventail, qui reprennent une nouvelle cible si la leur meurt en vol.;"18 par flamme ; délai 1,2 s ; Brûlure +1";Max 3 flammes par cible.;Flammes en forme d'oiseaux (4 frames d'ailes), pétales de feu.;
EVO_003;Souffle du dragon ancestral;CO;EVOLUTION;"[""JUT_004""]";"[""EQP_018""]";"Le cône continu passe à 120° et 6 m ; les ennemis à 6 cumuls de Brûlure éclatent en braises (propagation).";"12 par tick de 0,25 s ; éclatement 30 ; délai 2,2 s";Éclatement : 1 par cible.;Nappe de feu en 3 couches, tête de dragon esquissée au départ.;
EVO_004;Déluge d'huile ardente;CO;EVOLUTION;"[""JUT_010""]";"[""EQP_029""]";Deux gerbes d'huile en V puis embrasement : laisse un lac de flammes de 4 m pendant 4 s.;"Embrasement 60 ; lac 10 par tick de 0,5 s ; délai 4,0 s";1 lac actif.;Huile luisante puis mer de flammes à crêtes, sol noirci.;
EVO_005;Balle de flamme perforante;CO;EVOLUTION;"[""JUT_009""]";"[""PAS_020""]";"Tir rapide qui perce tout et ricoche une fois sur les obstacles ; laisse une ligne de braises 1 s.";"30 ; délai 0,7 s ; vitesse 16 m/s";—;Goutte de feu à cœur blanc et traîne longue.;
EVO_006;Halo solaire;CO;EVOLUTION;"[""JUT_013""]";"[""PAS_005""]";Couronne permanente de 5 feux follets sur deux anneaux contrarotatifs (2 m et 3,5 m).;"12 par passage ; Brûlure +1 ; permanente";Intervalle 0,5 s par follet et par cible.;Deux anneaux de flammes, lueur au sol en cercle.;
EVO_007;Hydre de braises;CO;EVOLUTION;"[""JUT_021""]";"[""PAS_006""]";La salamandre se divise en 2 à chaque élimination (max 4 simultanées), chacune poursuivant sa chaîne.;"26 par cible ; 5 sauts par salamandre ; délai 1,8 s";Divisions : profondeur 2.;Salamandres à 2 têtes, traînées de braises entrecroisées.;
EVO_008;Pression infernale;CO;EVOLUTION;"[""JUT_008""]";"[""PAS_049""]";L'orbe attire les ennemis ordinaires à 3 m pendant son vol, puis détone en double explosion (implosion puis explosion).;"Implosion 40 ; explosion 110 (r 4 m) ; délai 5,0 s";Max 2 orbes.;Orbe noir à anneau orange, implosion en 3 frames puis dôme.;
EVO_009;Dragons jumeaux d'eau;CO;EVOLUTION;"[""JUT_025""]";"[""PAS_022""]";"Deux dragons entrelacés (sinusoïdes opposées) ; chaque croisement crée un geyser.";"2 × 40 ; geyser 25 (r 1,2 m) ; perce illimité ; délai 2,0 s";—;Deux corps d'eau en double hélice, gerbes aux croisements.;
EVO_010;Rempart des marées;CO;EVOLUTION;"[""JUT_026""]";"[""PAS_051""]";Le mur d'eau reste 2 s en anneau à 2,5 m : bloque tous les projectiles ordinaires, puis s'effondre en vague vers l'extérieur.;"Vague 40 ; recul 3 m ; délai 6,0 s";Télégraphes de boss non bloqués.;Anneau d'eau haut de 24 px, écume, effondrement en 4 frames.;
EVO_011;Prison des profondeurs;CO;EVOLUTION;"[""JUT_027""]";"[""PAS_050""]";"Jusqu'à 3 prisons simultanées ; à la fin, chaque prison éclate et Trempe à 2 m.";"20 par tick de 0,5 s ; durée 3 s ; éclatement 30 ; délai 5,0 s";Boss : résistance de contrôle.;Sphères plus sombres, silhouette déformée, bulles.;
EVO_012;Brume du démon;CO;EVOLUTION;"[""JUT_028""]";"[""EQP_016""]";"Brume de 6 m qui suit le joueur ; critique +25 % contre les cibles dedans ; les ennemis dedans s'attaquent parfois (Confus 1 s toutes les 3 s).";"Durée 6 s ; délai 9 s";Télégraphes toujours au-dessus.;Brume dense à bord net en dithering, silhouettes ennemies contourées.;
