id;nom;type;mode;carte;personnage;rang;condition;recompenses;dependances
MIS_001;Examen d'entrée à la simulation;scenario;Expedition;MAP_001;TOUS;D;Survivre 8 min et vaincre Kakashi (version d'entraînement, 25 % PV).;"{""ryo"": 150, ""deblocages"": [], ""autres"": ""Archives Ninja ; écran de Doctrine visible (verrouillé)""}";[]
MIS_002;Rang C — Le pont de Tazuna;scenario;Standard;MAP_002;TOUS;D;Vaincre Zabuza.;"{""ryo"": 300, ""deblocages"": [""MAP_003""], ""autres"": ""—""}";"[""MIS_001""]"
MIS_003;Examen chūnin — La Forêt de la Mort;scenario;Standard;MAP_003;TOUS;D;Vaincre Orochimaru.;"{""ryo"": 350, ""deblocages"": [""MAP_004""], ""autres"": ""Doctrine débloquée""}";"[""MIS_002""]"
MIS_004;Examen chūnin — La finale;scenario;Standard;MAP_004;TOUS;D;Vaincre Gaara.;"{""ryo"": 400, ""deblocages"": [""MAP_005"", ""MAP_008""], ""autres"": ""—""}";"[""MIS_003""]"
MIS_005;Poursuite de Sasuke;scenario;Standard;MAP_005;TOUS;C;Vaincre Kimimaro.;"{""ryo"": 400, ""deblocages"": [""MAP_006""], ""autres"": ""—""}";"[""MIS_004""]"
MIS_006;La Vallée de la Fin;scenario;Standard;MAP_006;TOUS;C;Vaincre le rival (Sasuke ou Naruto selon l'entrée jouée).;"{""ryo"": 450, ""deblocages"": [""MAP_007""], ""autres"": ""Rang B""}";"[""MIS_005""]"
MIS_007;Le repaire du serpent;scenario;Standard;MAP_007;TOUS;C;Vaincre Kabuto.;"{""ryo"": 450, ""deblocages"": [""MAP_009""], ""autres"": ""—""}";"[""MIS_006""]"
MIS_008;Sauvetage du Kazekage;scenario;Standard;MAP_008;TOUS;C;Vaincre Sasori.;"{""ryo"": 450, ""deblocages"": [""MAP_010"", ""MAP_011""], ""autres"": ""—""}";"[""MIS_004""]"
MIS_009;Les frères Uchiha;scenario;Standard;MAP_009;TOUS;B;Vaincre Itachi.;"{""ryo"": 500, ""deblocages"": [], ""autres"": ""Cosmétique : bandeau rayé""}";"[""MIS_007""]"
MIS_010;La brume de Kiri;scenario;Standard;MAP_010;TOUS;B;Vaincre Kisame.;"{""ryo"": 500, ""deblocages"": [""MAP_018""], ""autres"": ""—""}";"[""MIS_008""]"
MIS_011;Le duo immortel;scenario;Standard;MAP_011;TOUS;B;Vaincre Kakuzu.;"{""ryo"": 500, ""deblocages"": [""MAP_012""], ""autres"": ""—""}";"[""MIS_008""]"
MIS_012;La pluie de Pain;scenario;Standard;MAP_012;TOUS;B;Vaincre Pain.;"{""ryo"": 550, ""deblocages"": [""MAP_013""], ""autres"": ""Rang A""}";"[""MIS_011""]"
MIS_013;La nuit du Kyūbi;scenario;Standard;MAP_013;TOUS;B;Vaincre Kurama.;"{""ryo"": 550, ""deblocages"": [""MAP_014""], ""autres"": ""—""}";"[""MIS_012""]"
MIS_014;Le Sommet des Kage;scenario;Standard;MAP_014;TOUS;A;Vaincre Danzō.;"{""ryo"": 600, ""deblocages"": [""MAP_015""], ""autres"": ""—""}";"[""MIS_013""]"
MIS_015;Les falaises de Kumo;scenario;Standard;MAP_015;TOUS;A;Vaincre Hachibi.;"{""ryo"": 600, ""deblocages"": [""MAP_016""], ""autres"": ""—""}";"[""MIS_014""]"
MIS_016;La quatrième grande guerre;scenario;Standard;MAP_016;TOUS;A;Vaincre Kinkaku et Ginkaku.;"{""ryo"": 650, ""deblocages"": [""MAP_017""], ""autres"": ""Rang S""}";"[""MIS_015""]"
MIS_017;La division du désert;scenario;Standard;MAP_017;TOUS;A;Vaincre Mū.;"{""ryo"": 650, ""deblocages"": [""MAP_019""], ""autres"": ""—""}";"[""MIS_016""]"
MIS_018;Le lac de la tortue;scenario;Standard;MAP_018;TOUS;A;Vaincre Sanbi.;"{""ryo"": 600, ""deblocages"": [], ""autres"": ""Cosmétique : carapace""}";"[""MIS_010""]"
MIS_019;L'autre dimension;scenario;Standard;MAP_019;TOUS;S;Vaincre Obito.;"{""ryo"": 700, ""deblocages"": [""MAP_020""], ""autres"": ""—""}";"[""MIS_017""]"
MIS_020;Le champ final;scenario;Standard;MAP_020;TOUS;S;Vaincre Madara.;"{""ryo"": 1000, ""deblocages"": [], ""autres"": ""Mode Endless, Boss Rush, rang S+""}";"[""MIS_019""]"
MIS_021;Défi de clan — Uchiha;defi_clan;Standard;MAP_009;TOUS;C;Terminer avec 3 techniques exclusives au clan Uchiha équipées.;"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Technique de départ alternative Uchiha : JUT_002 pour Sasuke""}";"[""MIS_009""]"
MIS_022;Défi de clan — Hyūga;defi_clan;Standard;MAP_004;TOUS;C;"Terminer avec 3 techniques Hyūga ; aucun projectile possédé.";"{""ryo"": 400, ""deblocages"": [], ""autres"": ""Doctrine « Poing souple »""}";"[""MIS_004""]"
