id;nom;statut;acces;stat;par_niveau;applique_a
PAS_001;Entraînement intensif;CO;LIBRE;Puissance;+10 % Puissance;TOUT
PAS_002;Rythme du shinobi;CO;LIBRE;Cadence;+7 % Cadence (niv. 5 : +35 %, délai −26 %);TOUT
PAS_003;Maîtrise de la forme;CO;LIBRE;Zone;+8 % Zone (dimensions linéaires);CONE, ONDE, ZONE, PIEGE, RAYON, ORBITE, DIFFERE, CONTACT, PROJECTILE
PAS_004;Chakra dense;CO;LIBRE;Puissance conditionnelle;+5 % dégâts des techniques CONTACT et ONDE;CONTACT, ONDE
PAS_005;Endurance du chakra;CO;LIBRE;Durée;+8 % Durée;ZONE, ORBITE, PIEGE, INVOCATION, RAYON
PAS_006;Sceau de multiplication;CO;LIBRE;Quantité;"niv. 2 : +1 Quantité ; niv. 4 : +1 (total +2) ; niv. 1/3/5 : +4 % Puissance";PROJECTILE, SALVE, ONDE, ZONE, PIEGE, ORBITE, INVOCATION, DIFFERE, CHAINE
PAS_007;Poignet vif;CO;LIBRE;Vitesse des projectiles;+12 % vitesse des projectiles;PROJECTILE, SALVE, CHAINE
PAS_008;Œil aiguisé;CO;LIBRE;Chance critique;+4 % chance critique;TOUT
PAS_009;Frappe vitale;CO;LIBRE;Dégâts critiques;+0,12 au multiplicateur critique;TOUT
PAS_010;Jambes légères;CO;LIBRE;Déplacement;+6 % déplacement;JOUEUR
PAS_011;Gilet de chūnin;CO;LIBRE;Armure;+1 Armure;JOUEUR
PAS_012;Sceaux rapides;CO;LIBRE;Réduction du délai;−4 % de délai des techniques SCEAU et PIEGE (appliqué après la Cadence, max −20 %);SCEAU, PIEGE
PAS_013;Pilules de soldat;CO;LIBRE;Régénération;+0,2 PV/s;JOUEUR
PAS_014;Aimant de chakra;CO;LIBRE;Rayon de collecte;+20 % rayon de collecte;JOUEUR
PAS_015;Vitalité;CO;LIBRE;PV max;+10 % PV max;JOUEUR
PAS_016;Méditation;CO;LIBRE;Gain de chakra;+10 % gain de chakra;JOUEUR
PAS_017;Talent précoce;CO;LIBRE;Gain d'XP;+6 % gain d'XP;JOUEUR
PAS_018;Chance du débutant;CO;LIBRE;Chance;+10 % Chance (rareté des Rouleaux, coffres triples);JOUEUR
PAS_019;Réflexes;CO;LIBRE;Réduction des dégâts;+3 % réduction des dégâts;JOUEUR
PAS_020;Précision;CO;LIBRE;Perce;"niv. 3 : +1 perce ; niv. 5 : +1 perce ; niv. 1/2/4 : +3 % Puissance des projectiles";PROJECTILE, SALVE
PAS_021;Flamme intérieure;CO;ELEM_KATON;Affinité Katon;"+6 % dégâts E_KATON ; Brûlure +0,3 s";E_KATON
PAS_022;Source vive;CO;ELEM_SUITON;Affinité Suiton;"+6 % dégâts E_SUITON ; Trempé +0,3 s";E_SUITON
PAS_023;Nerfs de foudre;CO;ELEM_RAITON;Affinité Raiton;"+6 % dégâts E_RAITON ; délai interne d'Électrisé −0,1 s (min 0,5 s)";E_RAITON
PAS_024;Souffle tranchant;CO;ELEM_FUTON;Affinité Fūton;"+6 % dégâts E_FUTON ; niv. 5 : Entaillé cumul max 4";E_FUTON
PAS_025;Racines profondes;CO;ELEM_DOTON;Affinité Doton;"+6 % dégâts E_DOTON ; +2 % Armure effective près d'une structure de terre";E_DOTON
PAS_026;Lignée héritée;CO;KG_MOKUTON|KG_HYOTON|KG_SABLE|KG_JITON|KG_SHAKUTON|KG_YOTON|KG_BAKUTON|KG_RANTON|KG_ENTON|KG_FUTTON|KG_JINTON;Affinité rare;+6 % dégâts des techniques de famille RARE;RARE
